Nursery Name,Address,Manager,Phone Number,Staff,Children 
Abbey Green Nursery School and Children's Centre,"Green Lane, Manningham, Bradford BD8 8HT",Margot Dixon (Head Teacher),01274 722070,32,112
Apperley Lodge Day Nursery,"110 Apperley Road, Idle, Bradford BD10 9SR",Faiza Bibi (Manager), 01274 622552,13,51
Ark Day Nursery,"490 Halifax Road, Buttershaw, Bradford BD6 2LH",Rachel Strong (Owner/Manager),01274 418981,23,72
Birkenshaw Kindergarten,"38A Old Lane, Birkenshaw, Bradford BD11 2JX",Sarah Killoran (Manager),01274 689099,14,47
Bobbins Childcare and Education Centre,"Bierley Children's Centre, Newhall Road, Bierley, Bradford BD4 6AF",Laura Cunningham (Manager),01274 681021,25,79
Broomfield Pre-School and Day Nursery,"Broomfield Place, Clayton, Bradford BD14 6PL",Rachel Strong (Owner),01274 816645,20,72
Canterbury Nursery School & Centre for Children,"Basil Street, Bradford BD5 9HL",Jackie Bracewell (Head of Centre),01274 574539,35,180
Children's Place Barkerend,"Barkerend Children's Centre, 365 Barkerend Road, Bradford BD3 8QX",Shelley Spivey (Nursery Manager),01274 667553,26,61
Children's Place Burnett Fields,"BF Children & Family Centre, 42 Greaves Street, Little Horton, Bradford BD5 7PE",Sarah Hotte (Nursery Manager),01274 523555,13,50
Children's Place Daisy Hill,"Lynfield Mount, Heights Lane, Bradford BD9 6DP",Yvonne Jack (Nursery Manager),01274 363146,18,55
Children's Place Gateway,"43 Thackeray Road, Bradford BD10 0JR",Karen Clarke (Nursery Manager),01274 636528,10,52
Children's Place Great Horton,"Great Horton Village Hall, 69 Beldon Road, Bradford BD7 3PE",Holly Hodgson (Nursery Co-ordinator),01274 501431,5,48
Children's Place Heaton,"83 Leylands Lane, Heaton, Bradford BD9 5PZ",Janet Wavell (Nursery Manager),01274 921319,14,32
Children's Place Mayfield,"The Mayfield Centre, Broadway, Bradford BD5 9NP",Lindsey Doherty (Nursery Co-ordinator),01274 736884,6,40
Children's Place St James,"St James Church Primary School, Chelwood Drive, Allerton, Bradford BD15 7YD",Charlotte Nightingale (Nursery Co-ordinator),01274 882017,5,40
Children's Place Summerfield,"6 Summerfield Road, Bradford BD10 8DP",Emma Bell (Nursery Manager), 01274 616698,10,39
Childs Play Neighbourhood Nursery,"Leytop Family Centre, Allerton, Bradford BD15 7PQ",Bev Mullaney (Manager),01274 549264,16,36
Community Works Nursery,"Undercliffe Lane, Undercliffe, Bradford BD3 0DW",Sandra Walker (Nursery Manager),01274 200589,15,56
Copthorne Primary School Nursery,"All Saints Road, Bradford BD7 3AY",Nikol Rainbank (Early years Coordinator),01274 501460,12,60
Cute Companions Private Day Nursery (Thackley),"542 Leeds Road, Thackley, Bradford BD10 8JH",Catherine Gordon (Owner/Manager), 01274 614291,21,66
Daisy Chain Nursery,"9 Pearson Lane, Bradford BD9 6BG",Claire Heslop (Manager), 01274 499411,14,54
Dixons Allerton Academy Nursery,"Oaks Lane, Allerton, Bradford BD15 7RU",Chris Currie (Primary Head), 01274 770230,4,52
Dracup Lodge Private Day Nursery,"19 Dracup Road, Great Horton, Bradford BD7 4HA",Shaheen Matloob (Nursery Manager),01274 962727,11,61
Fearnley Private Day Nursery,"1 Belmont Avenue, Low Moor, Bradford BD12 0PD", Melanie Fearnley-Heath (Manager),01274 691443,11,42
Feversham First Steps,"Feversham College, 158 Cliffe Road, Undercliffe, Bradford BD3 0LT",Saika Kauser (Manager),01274 559524,4,39
Footprints Nursery @ Buttershaw Christian Family Centre,"The Crescent, Buttershaw, Bradford BD6 3PZ",Mandy Welch (Manager),01274 690262,37,75
The Green Top Day Nursery Ltd,"Clayton Lane, Clayton, Bradford BD14 6SP",Tammy Colley (Manager),01274 426230,26,85
Greengate House Day Nursery,"188 New Line, Greengates, Bradford BD10 0BX", Diane Crawley and Molly Rhodes (Owners),01274 611288,11,40
Helen Howes Private Day Nurseries,"559-565 Bradford Road, Birkenshaw, Bradford BD11 2AQ",Helen Elizabeth Howes (Owner/Manager), 01274 681643,24,78
Jellytots Nursery,"28 Wakefield Road, Drighlinton, Bradford BD11 1DL",Joanne Mallinder (Manager),0113 285 3085,11,49
Kaleidoscope Day Nursery (Drighlington),"Adwalton Court, Hodgson Lane, Drighlington, Bradford BD11 1BJ",Tracy Clegg (Manager),0113 285 2300,26,114
Kinder Haven @ Eccleshill,"Stone Hall Road, Bradford BD2 2EJ",Emma Clarke (Manager),01274 640640,5,70
Kinder Haven @ Pasture Lane,"Pasture Lane, Bradford BD7 2SQ",Dana Butterfield (Manager),01274 501040,10,80
Kinder Haven @ Town Gate Wyke,"180 Town Gate, Bradford BD12 9JP", Kelly Mcloughlin (Manager),01274 691999,10,80
Kinder Haven Ltd @ Halifax Road,"69 Halifax Road, Bradford BD6 2JY",Cherelle Webster (Manager),01274 693905,23,85
Kinder Haven Ltd @ Sticker Lane,"357 Sticker Lane, Dudley Hill, Bradford BD4 8RJ",Becki Waring (Manager),01274 682989,20,83
Kinder Haven Ltd @ Wakefield Road,"28 Wakefield Road, Bradford BD4 7AF",Kirsty Fay (Manager), 01274 305528,20,80
Kinder Haven Ltd @ Westgate Hill,"19 Westgate Hill Street, Tong, Bradford BD4 0SP", Sarah Taylor (Manager),01274 689919,18,52
Lady Castle Nursery,"Bradford Girls' Grammar Site, Squire Lane, Bradford BD9 6RB",Laurafay Muranka (Nursery Manager), 01274 367044,14,50
Ladybird Kindergarten,"5 Main Street, Wyke, Bradford BD12 8BN",Parminder Singh,01274 966650,,60
Ley Top Primary School & Nursery,"Avenel Road, Allerton, Bradford BD15 7PQ",Lisa Hammond (Assistant Head in charge of Early Years),01274 541554,60,52
Life Daycare,"Life Church, Wapping Road, Bradford BD3 0EQ", Erin Gardner (Nursery Manager), 01274 303003,20,68
The Light Of The World Community Nursery,"Gaythorne Road, Bradford BD5 7ES",Angela Boddie (Senior Nursery Officer),01274 730640,16,40
Little Advocates Montessori Nursery,"1A Leylands Lane, Bradford BD9 5PX",Caroline Hullah (Manager),01274 496862,,24
Little Monsters Kindergarten,"1 Simes Street, Westgate, Bradford BD1 3RB",Salma Bhatti (Manager), 01274 732654,,44
Little Wellies Day Nursery,"392 Kings Road, Wrose, Bradford BD2 1NH",Chris Tidswell (Manager),01274 612991,19,53
Midland Road Nursery School & Children's Centre,"Bateman Street, Bradford BD8 7DJ",Sharon Hogan (Head of Centre),01274 490686,20,60
Pippins Childcare and Education Centre,"Holme Wood Childrens Centre, Haslemere Close, Bradford BD4 9EB",Laura Cunningham (Manager),01274 470141,20,62
Rainbow House Private Day Nursery,"29 Common Road, Low Moor, Bradford BD12 0TN",Amy Mannifield (Nursery Manager), 01274 690622,20,88
Rainbow Private Day Nursery,"51 Aireville Road, Frizinghall, Bradford BD9 4HH", Lisa Egan (Manager),01274 487206,5,27
Russell Street Nursery,"Ground Floor Flat, 3 Russell St, Little Horton, Bradford BD5 0JB",Sarah Hemingway (Officer in Charge),01274 734365,2,14
St Johns Under 5's Pre School,"Walshaw Street, Great Horton, Bradford BD7 4AB",Catherine Barrass (Nursery Manager),01274 502097,8,25
St Mary's Community Nursery CIC,"1 Hind Street, Wyke, Bradford BD12 8JT", Jane Raisbeck (Manager),01274 602457,,24
Sandy Lane Pre-School,"Bairstow Street, Sandy Lane, Bradford BD15 9JX",Helen Barker (Manager), 01274 484400,6,24
Severn Lodge Nursery School,"Severn Lodge, Severn Road, Lister Lane, Bradford BD2 4LS",Jayne Bentley (Offcier in Charge),01274 637425,17,67
Sherwood Green Nursery,"22 Sherwood Place, Bradford BD2 3DX",Zenish Waqas (Manager),01274 945575,,71
Shibden Head Day Nursery,"49 Halifax Road, Queensbury, Bradford BD13 2DT",Emma Toulmin (Nursery Manager), 01274 818717,,76
Short Circuits Care Club,"c/o Hollingwood Primary School, Hollingwood Lane, Bradford BD7 4BE", David Morris and Lynne Morris (Owners),01274 521155,,35
Spinning Top Day Nursery & Out of School Club,"2 Melbourne Grove, Thornbury, Bradford BD3 8JT",Kully Sandhu (Nursery Manager),01274 665652,15,94
Strawberries Private Day Nursery,"Eaglesfield Drive, Bradford BD6 2PY",Mary Crossley (Manager),01274 691005,14,57
Sunnyside Day Nursery,"Brunswick Works, New Line, Greengates, Bradford BD10 9AP", Laura Gallagher (Manager),01274 613100,10,30
Thornbury Play & Learn Nursery,"103 Thornbury Road, Bradford BD3 8SA",Paula Williams (Nursery Manager),01274 669901,5,48
Thornton Lodge Day Nursery,"1st Safari Day Nurseries Ltd, James Street, Thornton, Bradford BD13 3NR",Gareth Rider-Smith (Nursery Manager),01274 270022,16,71
Tiny Tots Bradford Ltd,"72 Thornton Road, Bradford BD1 2DG",Nadia Ahmed (Manager),01274 394111,,56
University of Bradford Nursery,"Laisteridge Lane, Bradford BD7 1DP",Sarah Smith (Manager),01274 234866,18,69
Westfield Private Day Nursery,"42 Sorrin Close, off Green Lane, Idle, Bradford BD10 8QF",Rebecca Wilson and Emma Pearson (Owners/Managers),01274 616200,25,82
"Woodlands House Private Day Nursery and Pre-school, Bradford","11 Cross Road, Idle, Bradford BD10 9RU",Claire Jackson (Nursery Manager),01274 613614,11,65
Woodlands Park Private Day Nursery and Forest School,"Woodlands Park Drive, Apperley Bridge, Bradford BD10 9SG",Leanne Brooksbank (Manager),01274 622776,33,80
Woodroyd Nursery,"Woodroyd Road, West Bowling, Bradford BD5 8EL",Farzana Shaheen (Manager),01274 718380,26,88
Wyke Community & Children's Centre,"Huddersfield Road, Wyke, Bradford BD12 8AA",Natalie Bartholomew (Centre Manager),01274 800500,10,32

,,,,1028,4203
School Name,Street,Town,Post Code,Contact Name,Email,Phone No.,MINORGROUP,NF TYPE,IS PRIMARY,IS SECONDARY,
East Bierley Church of England Voluntary Controlled Primary School,South View Road,Bradford,BD4 6PH,Mrs Lysa Upham,,01274 611327,Maintained School,Community school,Primary,0,0
East Morton CofE Primary School,Street Lane,Keighley,BD20 5SE,Mrs Kathryn Savage,,01274 611327,Academy,Academy sponsor led mainstream,Primary,0,0
Eastburn Junior and Infant School,Green Close,Keighley,BD20 8UX,Mrs Jo Waterhouse,,01274 611992,Maintained School,Voluntary aided school,Primary,0,0
Eastwood Community School,Victoria Avenue,Keighley,BD21 3JL,Mrs Suzanne Carter,,01274 414437,Maintained School,Community school,Primary,0,0
Eldwick Primary School,Warren Lane,Bingley,BD16 3LE,Mrs Janice Kershaw,,01274 414355,Maintained School,Community school,Primary,0,0
Embsay Church of England Voluntary Controlled Primary School,Pasture Road,Skipton,BD23 6RH,Mrs Fiona Prest,,01274 611324,Maintained School,Community school,Primary,0,0
Ermysted's Grammar School,Gargrave Road,Skipton,BD23 1PL,Mr Michael Evans,,01274 611324,Academy,Academy - Converter mainstream,Primary,0,0
Eternal Light Secondary School,Christopher Street,Bradford,BD5 9DH,Mr Yusuf Collector,,01274 611512,Maintained School,Community school,Primary,0,0
Fagley Primary School,Falsgrave Avenue,Bradford,BD2 3PU,Mrs Chris Parfitt,,01274 611512,Academy,Academy sponsor led mainstream,Primary,0,0
Farfield Primary and Nursery School,Reevy Crescent,Bradford,BD6 2BS,Mrs Susan Convery,,01274 414126,Maintained School,Community school,Primary,0,0
Farnham Primary School,Stratford Road,Bradford,BD7 3HU,Mr Richard Edwards,,0113 2853000,Maintained School,Community school,Primary,0,0
Fearnville Primary School,Fearnville Drive,Bradford,BD4 8DX,Mr Wahid Zaman,,01274 651232,Maintained School,Voluntary controlled school,Primary,0,0
Feversham Academy,158 Cliffe Road,Bradford,BD3 0LT,Ms Sajida Muneer,,01274 600797,Maintained School,Voluntary controlled school,Primary,0,0
Feversham Primary Academy,Harewood Street,Bradford,BD3 9EG,Mr Naveed Idrees,,01274 678386,Maintained School,Foundation school,Primary,0,0
Foxhill Primary School,Brighouse and Denholme Road,Bradford,BD13 1LN,Mrs Sally Hey,,01274 678385,Maintained School,Voluntary controlled school,Primary,0,0
Frizinghall Primary School,Salisbury Road,Bradford,BD9 4HP,Miss Lisa Wetherall,,01274 678385,Academy,Academy - Converter mainstream,Primary,0,0
Gargrave Church of England Voluntary Controlled Primary School,Neville Road,Skipton,BD23 3RE,Mrs Sarah Peel,,01274 679320,Academy,Academy - Converter mainstream,Primary,0,0
Giggleswick Primary School,Church Street,Settle,BD24 0BJ,Ms Anne Michelmore-Brown,,01274 414904,Maintained School,Community school,Primary,0,0
Giggleswick School,Giggleswick,Settle,BD24 0DE,Mr Mark M Turnbull,,01274 882426,Maintained School,Foundation school,Primary,0,0
Girlington Primary School,Girlington Road,Bradford,BD8 9NR,Mrs K A Swales,,01274 882116,Maintained School,Foundation school,Primary,0,0
Glenaire Primary School,Thompson Lane,Shipley,BD17 7LY,Mrs Jo Wilkinson,,01274 882458,Academy,Academy - Converter mainstream,Primary,0,0
Glusburn Community Primary School,Colne Road,Keighley,BD20 8PJ,Mr Richard Hunt,,01274 880569,Maintained School,Community school,Primary,0,0
Gomersal Primary School,Oxford Road,Cleckheaton,BD19 4PX,Ms Melanie Cox,,01274 833839,Academy,Academy - Converter mainstream,Primary,0,0
Gomersal St Mary's Church of England Voluntary Controlled Primary School,Shirley Avenue,Cleckheaton,BD19 4NA,Miss Jane Barker,,01274 832123,Academy,Academy - Converter mainstream,Primary,0,0
Grange Technology College,Haycliffe Lane,Bradford,BD5 9ET,Ms Alison Mander,,01274 832491,Maintained School,Foundation school,Primary,0,0
Grassington Church of England Voluntary Controlled Primary School,Acre Lane,Skipton,BD23 5LB,Mrs Christine Boxall,,01535 273839,Maintained School,Community school,Primary,0,0
Green Lane Primary School,Green Lane,Bradford,BD8 8HT,Mr Kevin Holland,,01535 273839,Academy,Academy - Converter mainstream,Primary,0,0
Greengates Primary Academy,31 Stockhill Road,Bradford,BD10 9AX,Mr Andrew Gaunt,,01274 414115,Maintained School,Community school,Primary,0,0
Grove House Primary School,Myers Lane,Bradford,BD2 4ED,Miss Lynette Clapham,,01274 815862,Academy,Academy sponsor led mainstream,Primary,0,0
Hanson School,Sutton Avenue,Bradford,BD2 1JP,Mr Richard Woods,,01274 414761,Maintained School,Voluntary aided school,Primary,0,0
Harden Primary School,Long Lane,Bingley,BD16 1LJ,Kirsty Hutchinson,,01535 272263,Academy,Academy - Converter mainstream,Primary,0,0
Haworth Primary School,Rawdon Road,Keighley,BD22 8DW,Mrs Paula Howe,,01274 541587,Academy,Academy - Converter mainstream,Primary,0,0
Hazelbeck Special School,Wagon Lane,Bingley,BD16 1EE,Miss Beth McPhail,,01274 541737,Maintained School,Voluntary aided school,Primary,0,0
Heaton Avenue Primary School,South Parade,Cleckheaton,BD19 3AE,Ms Michelle Lee,,01274 541554,Maintained School,Community school,Primary,0,0
Heaton St Barnabas' CofE Aided Primary School,Rossefield Road,Bradford,BD9 4DA,Mrs Diane Smith,,01274 777095,Academy,Academy sponsor led mainstream,Primary,0,0
Hellifield Community Primary School,Kendal Road,Skipton,BD23 4HA,Mrs Sara Binns,,01274 564681,Maintained School,Foundation school,Primary,0,0
High Crags Primary Leadership Academy,Crag Road,Shipley,BD18 2ES,Mrs Joanne Cornelius,,01535 273847,Academy,Academy - Converter mainstream,Primary,0,0
High Park School,Thorn Lane,Bradford,BD9 6RY,Mrs Ann Andrew,,01274 567545,Maintained School,Community school,Primary,0,0
Hill Top CofE Primary School,Common Road,Bradford,BD12 0TL,Mr Des Martin,,01274 782070,Maintained School,Community school,Primary,0,0
Hollingwood Primary School,Hollingwood Lane,Bradford,BD7 4BE,Mr Jonathan Duke,,01274 564977,Maintained School,Voluntary aided school,Primary,0,0
Holybrook Primary School,Rillington Mead,Bradford,BD10 0EF,Mr Chris Lloyd,,01274 568361,Maintained School,Community school,Primary,0,0
Holycroft Primary School,Victoria Road,Keighley,BD21 1JF,Mr G Morrison,,01274 564883,Maintained School,Voluntary aided school,Primary,0,0
Home Farm Primary School,Home Farm Close,Bradford,BD6 3NR,Mr John Macdonald,,01274 564879,Academy,Academy - Converter mainstream,Primary,0,0
Horton Grange Primary School,Spencer Road,Bradford,BD7 2EU,Mrs Carol Stephenson,,01274 581898,Maintained School,Community school,Primary,0,0
Horton Park Primary School,Dawnay Road,Bradford,BD5 9LQ,Mrs Salma Rahman,,01274 598540,Maintained School,Voluntary aided school,Primary,0,0
Howard Park Community School,St Peg Lane,Cleckheaton,BD19 3SD,Mr Marcus Newby,,01274 582514,Maintained School,Community school,Primary,0,0
Hoyle Court Primary School,Fyfe Grove,Shipley,BD17 6DN,Mr Tim Phillips,,01274 582927,Maintained School,Community school,Primary,0,0
Idle CofE Primary School,Boothroyd Drive,Bradford,BD10 8LU,Mr John Bowers,,01274 592738,Maintained School,Voluntary aided school,Primary,0,0
Immanuel College,Leeds Road,Bradford,BD10 9AQ,Mrs Jane Tiller,,01274 584068,Academy,Academy sponsor led mainstream,Primary,0,0
Ingrow Primary School,Broomhill Avenue,Keighley,BD21 1BW,Mrs Angela Vinnicombe,,01274 410349,Academy,Academy sponsor led mainstream,Primary,0,0
Iqra Academy,Drummond Road,Bradford,BD8 8DA,Mrs Shahnaz Anwar-Bleem,,01274 583900,Maintained School,Voluntary aided school,Primary,0,0
Islamic Tarbiyah Preparatory School,Ambler Street,Bradford,BD8 8AW,Mr S A Nawaz,,01274 583900,Academy,Academy sponsor led mainstream,Primary,0,0
J.A.M.E.S,The Eric Gibbs Centre,Bradford,BD9 4JB,Miss Mandy Lakes,,01274 584779,Maintained School,Voluntary controlled school,Primary,0,0
Jaamiatul Imaam Muhammad Zakaria,Thornton View Road,Bradford,BD14 6JX,Mrs Zebunnisa Hajee,,01274 584779,Academy,Academy sponsor led mainstream,Primary,0,0
Keelham Primary School,Well Heads,Bradford,BD13 4HH,Miss Debra Butler,,01274 584093,Maintained School,Community school,Primary,0,0
Keighley St Andrew's CofE Primary School and Nursery,Lustre Street,Keighley,BD21 2ND,Mrs Rachel Whitham,,01274 531102,Academy,Academy - Converter mainstream,Primary,0,0
Kettlewell Primary School,Kettlewell,Skipton,BD23 5HX,Christopher Norris and Christine Boxall,,01274 874550,Maintained School,Voluntary controlled school,Primary,0,0
Kildwick Church of England Voluntary Controlled Primary School,Priest Bank Road,Keighley,BD20 9BH,Mr Tim Whitehead,,01274 679541,Maintained School,Community school,Primary,0,0
Killinghall Primary School,Killinghall Road,Bradford,BD3 7JF,Mrs Gill Edge and Mrs Claire Spencer,,01274 876461,Maintained School,Voluntary controlled school,Primary,0,0
Kirkby in Malhamdale United Voluntary Aided Primary School,Kirkby Malham,Skipton,BD23 4BY,Mr Richard Wright,,01274 639049,Maintained School,Community school,Primary,0,0
Knowleswood Primary School,Knowles Lane,Bradford,BD4 9AE,Mrs Victoria Wyatt,,01274 772175,Maintained School,Community school,Primary,0,0
Lady Lane Park School,Lady Lane,Bingley,BD16 4AP,Mr Nigel Saunders,,01274 637841,Maintained School,Voluntary aided school,Primary,0,0
Laisterdyke Leadership Academy,Thornbury Road,Bradford,BD3 8HE,Mrs Karen Jones,,01274 639374,Maintained School,Voluntary controlled school,Primary,0,0
Lapage Primary School and Nursery,Barkerend Road,Bradford,BD3 8QX,Mr Richard Ballentine,,01274 771124,Maintained School,Community school,Primary,0,0
